distancePixel,angle,aspRatio,normalized_BBsize,relative_height,horizontal_offset,vertical_offset,log_distPix,distanceReal
64.4846,272.073,0.995349,0.00702057,40.3125,0.00486036,-0.134255,4.18182,0.30
161.845,266.859,0.966184,0.0252686,77.625,-0.0184735,-0.33667,5.0928,0.43
95.1873,266.141,0.972973,0.00731689,41.625,-0.0133471,-0.197857,4.5663,0.43
195.822,265.242,1.57676,0.013974,45.1875,-0.0338384,-0.406557,5.2823,0.57
128.566,264.397,0.963303,0.00698547,40.875,-0.0261516,-0.266567,4.86419,0.57
104.7,267.02,0.988764,0.00478027,33.375,-0.0113407,-0.217831,4.66061,0.57
201.944,264.814,1.60731,0.0103383,38.4961,-0.038026,-0.418995,5.31293,0.70
140.481,266.852,0.967581,0.00593521,37.5938,-0.0160738,-0.292227,4.95216,0.70
121.619,265.484,0.982036,0.00417908,31.3125,-0.0199487,-0.252587,4.80909,0.70
212.984,266.984,1.87521,0.00628868,27.7969,-0.0233453,-0.443102,5.3659,0.88
152.92,267.561,0.956989,0.00505188,34.875,-0.0135557,-0.318296,5.03644,0.88
129.238,267.559,0.953301,0.00350601,29.1094,-0.0114674,-0.269002,4.86936,0.88
208.156,266.984,0.952455,0.00379942,30.3164,-0.0228146,-0.433057,5.34308,1.50
176.56,266.764,0.951613,0.00223267,23.25,-0.0207657,-0.367247,5.17931,1.50
211.74,267.449,1.03437,0.00368263,28.6406,-0.0196342,-0.440687,5.36007,1.40
179.302,269.123,0.939422,0.0025787,25.1484,-0.0057187,-0.373503,5.19464,1.40
217.555,267.95,1.55855,0.00346031,22.6172,-0.0162141,-0.452949,5.38704,1.27
176.524,267.638,0.950495,0.00279716,26.0391,-0.0151571,-0.367446,5.17911,1.27
201.079,270.162,0.941462,0.00609987,38.6367,0.00118795,-0.418912,5.30866,1.15
172.684,268.474,0.936768,0.00366497,30.0234,-0.00958318,-0.359631,5.15724,1.15
152.745,268.659,0.952381,0.00270767,25.5938,-0.00744869,-0.318131,5.03529,1.15
203.122,268.418,1.03258,0.0062709,37.4062,-0.0116841,-0.42301,5.31872,1.07
166.264,268.42,0.94704,0.00372253,30.0938,-0.00955177,-0.346252,5.11957,1.07
145.834,269.007,0.981685,0.00279099,25.5938,-0.0052669,-0.303774,4.9893,1.07
199.18,270.114,1.00342,0.00736008,41.1094,0.000826198,-0.414958,5.29922,0.97
154.054,268.055,0.97561,0.00400391,30.75,-0.0108913,-0.320761,5.04377,0.97
136.963,268.311,0.968858,0.00308685,27.0938,-0.00841223,-0.285216,4.92699,0.97
33.7966,268.89,1.02866,0.247612,235.5,-0.00136382,-0.0703963,3.54952,0.24
51.0406,267.712,1.01765,0.0179504,63.75,-0.00424519,-0.10625,3.95202,0.26
43.3879,218.574,0.997222,0.00493011,33.75,-0.0706687,-0.0563607,3.79297,0.27
58.2662,214.191,0.975275,0.00492935,34.125,-0.100408,-0.0682146,4.08204,0.36
66.1453,214.595,1.00896,0.00431938,31.4062,-0.113437,-0.0782405,4.20686,0.42
79.5484,211.483,1.01274,0.00380905,29.4375,-0.14133,-0.0865495,4.38886,0.51
97.2821,202.799,1.00358,0.00298004,26.1562,-0.186836,-0.0785349,4.58784,0.64
104.134,205.274,1,0.00290588,25.875,-0.196181,-0.0926234,4.65524,0.73
114.064,202.686,0.977778,0.00271912,25.3125,-0.219249,-0.0916498,4.74549,0.86
116.977,209.557,0.963504,0.0027594,25.6875,-0.211987,-0.120215,4.77049,0.90
120.848,211.62,1.0082,0.00228973,22.875,-0.21439,-0.131996,4.80277,0.94
126.412,211.014,1.02542,0.00217865,22.125,-0.225708,-0.135696,4.84742,1.03
132.331,210.413,1,0.00191406,21,-0.237753,-0.139564,4.89283,1.11
137.152,210.949,1,0.00174698,20.0625,-0.245051,-0.146947,4.92835,1.19
142.465,210.782,1.0099,0.00157196,18.9375,-0.254989,-0.151894,4.96609,1.29
144.911,210.074,1,0.00152588,18.75,-0.261256,-0.151289,4.983,1.34
149.732,211.106,1.01064,0.00136261,17.625,-0.267089,-0.161155,5.0155,1.43
153.863,209.708,1.00798,0.00135902,17.625,-0.278416,-0.158859,5.04254,1.54
155.467,210.582,1.00815,0.00130203,17.25,-0.278837,-0.164786,5.05285,1.58
157.908,209.455,1.01648,0.00128441,17.0625,-0.286451,-0.16177,5.06832,1.65
163.75,210.214,1.0506,0.00113113,15.75,-0.294803,-0.171675,5.10443,1.83
165.521,210.103,1.02744,0.00105415,15.375,-0.298324,-0.172956,5.11512,1.89
168.932,209.595,1,0.000976562,15,-0.306027,-0.173811,5.1354,1.99
170.26,209.834,1.01266,0.000964355,14.8125,-0.307698,-0.176465,5.14318,2.04
